tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,PULocationID,DOLocationID
2023-02-28 04:50:00,2023-02-28 05:13:00,4,2.13,5.86,0.53,Credit card,100,37
2023-01-11 03:12:00,2023-01-11 03:23:00,5,4.62,12.72,1.15,Credit card,195,147
2023-01-03 06:38:00,2023-01-03 07:13:00,3,15.17,41.75,3.79,Credit card,192,228
2023-03-09 11:56:00,2023-03-09 12:09:00,5,1.5,4.13,0.37,Credit card,68,34
2023-01-26 00:48:00,2023-01-26 01:40:00,5,10.1,27.8,2.52,Credit card,242,237
2023-01-23 06:58:00,2023-01-23 07:19:00,2,9.12,25.1,2.28,No charge,90,212
2023-01-21 07:36:00,2023-01-21 08:27:00,3,7.02,19.32,1.75,Credit card,10,140
2023-01-13 16:49:00,2023-01-13 17:45:00,3,8.19,22.54,2.05,Cash,118,190
2023-03-09 00:50:00,2023-03-09 01:30:00,3,10.83,29.81,2.71,Cash,250,96
2023-01-10 07:54:00,2023-01-10 08:47:00,5,3.65,10.05,0.91,Credit card,59,194
2023-03-03 14:16:00,2023-03-03 14:32:00,4,11.65,32.06,2.91,Cash,195,152
2023-03-09 10:00:00,2023-03-09 10:48:00,3,16.21,44.61,4.05,Credit card,50,223
2023-02-19 15:22:00,2023-02-19 15:48:00,5,15.32,42.16,3.83,Credit card,97,196
2023-01-08 21:55:00,2023-01-08 22:41:00,2,3.5,9.63,0.87,Credit card,127,88
2023-02-23 17:57:00,2023-02-23 18:07:00,4,3.41,9.38,0.85,Credit card,246,17
2023-02-08 09:42:00,2023-02-08 10:01:00,2,5.73,15.77,1.43,Credit card,87,211
2023-01-03 21:25:00,2023-01-03 21:52:00,4,7.54,20.75,1.88,Credit card,77,232
2023-01-03 17:05:00,2023-01-03 17:24:00,5,8.46,23.28,2.11,Credit card,204,183
2023-01-09 12:40:00,2023-01-09 13:32:00,1,13.75,37.84,3.43,Credit card,146,162
2023-01-20 21:37:00,2023-01-20 22:37:00,4,1.61,4.43,0.4,Credit card,149,70
2023-01-22 04:15:00,2023-01-22 04:39:00,2,1.18,3.25,0.29,Credit card,111,60
2023-02-15 23:57:00,2023-02-16 00:28:00,5,8.14,22.4,2.03,Credit card,129,179
2023-02-24 19:07:00,2023-02-24 20:02:00,4,14.09,38.78,3.52,Credit card,253,77
2023-01-03 09:58:00,2023-01-03 10:24:00,1,4.27,11.75,1.07,Credit card,166,35
2023-02-21 02:03:00,2023-02-21 02:31:00,1,13.01,35.81,3.25,Credit card,137,16
2023-01-19 02:22:00,2023-01-19 02:43:00,3,5.57,15.33,1.39,Cash,11,171
2023-03-07 04:10:00,2023-03-07 04:52:00,3,17.78,48.93,4.44,Credit card,71,32
2023-03-01 03:41:00,2023-03-01 04:04:00,2,17.97,49.46,4.49,Credit card,159,263
2023-03-05 20:04:00,2023-03-05 20:38:00,4,6.3,17.34,1.57,Credit card,216,215
2023-02-19 14:26:00,2023-02-19 15:25:00,4,4.98,13.71,1.24,Cash,26,46
2023-02-08 04:27:00,2023-02-08 04:39:00,3,8.52,23.45,2.13,Credit card,162,189
2023-01-21 01:33:00,2023-01-21 02:08:00,4,5.19,14.28,1.3,Credit card,102,71
2023-02-10 21:18:00,2023-02-10 21:26:00,4,13.61,37.46,3.4,Credit card,69,88
2023-02-23 15:16:00,2023-02-23 16:16:00,1,16.61,45.71,4.15,Credit card,133,261
2023-01-26 07:43:00,2023-01-26 08:28:00,3,13.63,37.51,3.4,Credit card,189,182
2023-01-01 14:11:00,2023-01-01 14:53:00,5,16.57,45.6,4.14,Credit card,211,22
2023-03-11 01:38:00,2023-03-11 02:20:00,3,8.24,22.68,2.06,No charge,243,74
2023-01-15 12:46:00,2023-01-15 13:30:00,5,3.55,9.77,0.89,Credit card,166,90
2023-03-05 13:06:00,2023-03-05 13:15:00,1,14.89,40.98,3.72,Credit card,61,166
2023-02-08 11:12:00,2023-02-08 11:47:00,2,7.53,20.72,1.88,Cash,113,234
2023-01-31 23:17:00,2023-01-31 23:34:00,4,13.59,37.4,3.39,Credit card,30,129
2023-01-26 07:01:00,2023-01-26 07:38:00,1,5.78,15.91,1.44,Cash,161,95
2023-01-15 03:39:00,2023-01-15 03:51:00,4,2.08,5.72,0.52,Credit card,234,28
2023-01-20 14:21:00,2023-01-20 15:21:00,2,19.86,54.66,4.96,Cash,170,35
2023-01-31 15:18:00,2023-01-31 16:06:00,2,3.55,9.77,0.89,Credit card,186,231
2023-01-10 07:16:00,2023-01-10 07:45:00,1,19.77,54.41,4.94,Cash,57,125
2023-01-09 10:36:00,2023-01-09 11:14:00,2,19.56,53.83,4.88,Cash,240,79
2023-02-04 13:57:00,2023-02-04 14:21:00,5,15.98,43.98,3.99,Credit card,257,61
2023-01-09 19:16:00,2023-01-09 19:47:00,2,13.36,36.77,3.34,Credit card,201,217
2023-02-02 16:12:00,2023-02-02 16:20:00,4,11.77,32.39,2.94,Credit card,106,163
2023-02-01 07:22:00,2023-02-01 08:22:00,4,17.39,47.86,4.34,No charge,101,57
2023-02-24 22:51:00,2023-02-24 23:50:00,4,6.14,16.9,1.53,Credit card,97,191
2023-01-25 01:51:00,2023-01-25 02:05:00,4,9.62,26.48,2.4,Credit card,153,132
2023-01-04 22:55:00,2023-01-04 23:08:00,5,12.58,34.62,3.14,Credit card,29,42
2023-03-08 10:07:00,2023-03-08 10:24:00,3,8.52,23.45,2.13,Credit card,153,173
2023-02-11 19:37:00,2023-02-11 20:03:00,1,8.84,24.33,2.21,Credit card,73,167
2023-02-18 19:24:00,2023-02-18 19:55:00,4,6.94,19.1,1.73,No charge,254,250
2023-01-12 08:41:00,2023-01-12 09:22:00,2,11.5,31.65,2.87,Credit card,4,193
2023-02-04 10:55:00,2023-02-04 11:29:00,4,17.09,47.03,4.27,Cash,237,238
2023-01-08 04:08:00,2023-01-08 04:22:00,2,4.43,12.19,1.11,Credit card,38,230
2023-02-20 05:57:00,2023-02-20 06:22:00,2,18.72,51.52,4.68,Credit card,20,165
2023-01-27 16:27:00,2023-01-27 17:27:00,4,13.94,38.37,3.48,Credit card,113,243
2023-02-27 05:17:00,2023-02-27 06:07:00,5,16.55,45.55,4.13,Credit card,23,90
2023-02-26 07:10:00,2023-02-26 07:26:00,2,11.35,31.24,2.83,No charge,136,179
2023-02-02 22:00:00,2023-02-02 22:54:00,2,15.7,43.21,3.92,Cash,248,58
2023-02-22 13:14:00,2023-02-22 13:24:00,4,0.82,2.26,0.21,Credit card,97,263
2023-01-18 12:03:00,2023-01-18 12:39:00,2,16.46,45.3,4.11,Credit card,33,136
2023-03-06 03:09:00,2023-03-06 03:35:00,2,1.28,3.52,0.32,Credit card,135,238
2023-01-07 07:56:00,2023-01-07 08:41:00,4,17.85,49.13,4.46,Cash,255,243
2023-01-05 04:06:00,2023-01-05 04:22:00,4,19.84,54.6,4.95,Cash,133,151
2023-03-02 04:33:00,2023-03-02 04:58:00,1,6.23,17.15,1.56,Cash,238,247
2023-01-21 17:51:00,2023-01-21 18:36:00,5,4.6,12.66,1.15,Credit card,15,219
2023-01-27 08:10:00,2023-01-27 08:18:00,5,15.42,42.44,3.85,Credit card,126,9
2023-01-08 06:18:00,2023-01-08 06:23:00,2,5.43,14.94,1.36,Credit card,17,13
2023-01-22 04:32:00,2023-01-22 05:05:00,5,17.38,47.83,4.34,Credit card,50,263
2023-01-10 04:38:00,2023-01-10 05:00:00,2,2.51,6.91,0.63,Credit card,135,225
2023-02-04 14:23:00,2023-02-04 14:41:00,1,2.96,8.15,0.74,Credit card,118,231
2023-01-26 07:14:00,2023-01-26 08:07:00,4,19.59,53.92,4.89,Credit card,60,178
2023-02-11 06:29:00,2023-02-11 07:23:00,4,13.64,37.54,3.41,Cash,125,247
2023-02-27 20:40:00,2023-02-27 20:55:00,4,17.01,46.81,4.25,Cash,116,67
2023-02-03 04:59:00,2023-02-03 05:40:00,5,6.82,18.77,1.7,Credit card,173,157
2023-01-15 19:19:00,2023-01-15 20:12:00,1,13.69,37.68,3.42,Credit card,187,165
2023-02-03 16:40:00,2023-02-03 16:55:00,5,12.09,33.27,3.02,Credit card,88,184
2023-02-02 08:06:00,2023-02-02 08:42:00,5,12.26,33.74,3.06,Cash,203,208
2023-01-20 01:40:00,2023-01-20 02:35:00,1,13.81,38.01,3.45,Cash,182,16
2023-03-03 00:01:00,2023-03-03 00:54:00,1,11.72,32.26,2.93,Cash,168,241
2023-01-25 07:13:00,2023-01-25 08:07:00,1,8.87,24.41,2.22,Cash,181,230
2023-03-05 21:08:00,2023-03-05 21:18:00,1,5.88,16.18,1.47,Credit card,130,18
2023-03-04 05:13:00,2023-03-04 05:26:00,4,15.49,42.63,3.87,Credit card,149,147
2023-02-28 23:39:00,2023-03-01 00:23:00,3,4.91,13.51,1.23,Credit card,209,244
2023-01-07 11:58:00,2023-01-07 12:30:00,3,14.0,38.53,3.5,Credit card,111,51
2023-02-25 10:40:00,2023-02-25 11:25:00,1,5.05,13.9,1.26,Cash,137,259
2023-02-27 19:07:00,2023-02-27 19:39:00,3,12.69,34.93,3.17,Credit card,211,238
2023-01-16 13:51:00,2023-01-16 14:21:00,3,15.07,41.48,3.76,Credit card,146,246
2023-02-18 14:50:00,2023-02-18 15:22:00,1,4.76,13.1,1.19,Credit card,84,49
2023-03-08 08:48:00,2023-03-08 09:23:00,3,1.67,4.6,0.42,No charge,30,38
2023-01-23 06:47:00,2023-01-23 07:16:00,5,3.05,8.39,0.76,Credit card,65,32
2023-01-15 20:57:00,2023-01-15 21:02:00,2,12.32,33.91,3.08,Credit card,24,243
